ID,Name,Cuisine,Delivery_rating,Dining_rating,Overall_rating,Area,Offer,Votes,Featured
19868137,Backstreet Brewery,"Italian, Bar Food, Pizza, North Indian",3.6,4.2,3.9,"Sarjapur Road, Bangalore",Pro - Get 20% off,549,Featured
18713342,One For The Road,"Continental, North Indian",4.1,4.4,4.3,"Elements Mall, Nagawara, Bangalore",Pro - Get 25% off,"3,037",Featured
18709627,Simon Says Brew Works,"Finger Food, Continental, American, Pizza",,4.3,4.3,"Koramangala 5th Block, Bangalore",Pro - Get 15% off,"4,490",Featured
18871082,Orbis Restaurant,"Mughlai, Biryani, North Indian, Arabian, Chinese, Beverages, Desserts",3.5,3.4,3.5,"Brookefield, Bangalore",Pro - Get 20% off,21.2K,NO
19278899,Karnatic,"Kerala, Andhra, Biryani, Chettinad, Konkan, Mangalorean",4.0,3.9,4.0,"JP Nagar, Bangalore",,352,NO
20143777,Ambur Star Briyani Since 1890,"Biryani, Andhra, Chinese, Beverages",Newly Opened,Newly Opened,4.2,"Kammanahalli, Bangalore",,161,NO
19870674,Habibi Falafel ,"Arabian, Beverages, Fast Food",4.2,3.7,4.0,"JP Nagar, Bangalore",,289,NO
20149515,La Pino'z Pizza,"Pizza, Fast Food",4.0,3.7,3.9,"Jayanagar, Bangalore",,111,NO
20136624,Casa Fresco by Tea Brew,"Cafe, Continental, Italian, American, Momos, Burger, Beverages",Newly Opened,Newly Opened,3.8,"HSR, Bangalore",,45,NO
18995973,Jagannath Food Corner,"North Indian, Fast Food",3.7,3.9,3.8,"BTM, Bangalore",,"6,786",NO
19154444,Shawarma Grill House,"Chinese, Biryani, Mughlai, North Indian, Shake",4.1,3.7,3.9,"Rajajinagar, Bangalore",,"3,222",NO
18641152,Tapri By The Corner,"North Indian, Chinese",3.9,4.0,4.0,"Koramangala 5th Block, Bangalore",,"2,953",NO
20163010,Street 1522,"Continental, Asian, Street Food, Mughlai, Burger, North Indian",Newly Opened,Newly Opened,4.0,"Sarjapur Road, Bangalore",,94,NO
18577169,Shaken & Stirred,"Continental, North Indian, Chinese, Seafood, Desserts, Beverages",4.0,4.0,4.0,"Race Course Road, Bangalore",Pro - Get 25% off,263,NO
51441,Coconut Grove,"South Indian, Chettinad, Kerala, Seafood, Finger Food",3.1,3.9,3.5,"Church Street, Bangalore",,771,NO
20166164,Gatsby,"Bar Food, Italian, Continental, Pizza, Desserts, North Indian, Asian, Chinese",Newly Opened,Newly Opened,3.9,"Bannerghatta Road, Bangalore",,141,NO
18280596,Tipsy Bull - The Bar Exchange,"North Indian, Chinese, Continental, Mexican",3.8,4.3,4.1,"Bellandur, Bangalore",,"3,307",NO
18658794,Salut,"Continental, Finger Food, Seafood, Pizza, Chinese",3.2,4.0,3.6,"Jayanagar, Bangalore",Pro - Get 20% off,859,NO
19230143,Casa Piccosa,"North Indian, Italian, Chinese, Desserts",,3.6,3.6,"Bommasandra, Bangalore",,156,NO
18620895,Gilly's Restobar,"Continental, North Indian, Chinese, Salad, Fast Food, Pizza, Italian",4.0,4.4,4.2,"Electronic City, Bangalore",Pro - Get 20% off,"3,257",NO
19895635,Bhola & Blonde,"Modern Indian, North Indian, Lucknowi",,4.0,4.0,"Indiranagar, Bangalore",Pro - Get 20% off,147,NO
20013654,Khanna's,North Indian,4.1,3.9,4.0,"Sarjapur Road, Bangalore",,155,NO
20100878,Flavoured,"Chinese, North Indian, Seafood, Mughlai",4.0,,4.0,"Kammanahalli, Bangalore",,64,NO
19332749,Cafe Rome,"Beverages, Fast Food, Desserts",4.2,4.1,4.2,"Sahakara Nagar, Bangalore",,298,NO
18862816,Hotel Prashanth,"Mughlai, Biryani, South Indian",3.9,3.6,3.8,"Nagarbhavi, Bangalore",,"5,284",NO
18590970,California Burrito,"Mexican, Fast Food, Beverages, Desserts",4.2,4.2,4.2,"HSR, Bangalore",Pro - Get 20% off,"9,578",NO
53966,Chili's American Grill & Bar,"American, Mexican, Burger, Tex-Mex, Desserts, Beverages",3.9,4.4,4.2,"Orion Mall, Malleshwaram, Bangalore",Pro - Get 15% off,"9,270",NO
56028,Momoz,"Chinese, Momos, Seafood, Thai",3.9,4.1,4.0,"BTM, Bangalore",Pro - Get 25% off,26.9K,NO
19704534,Paratha Envy,North Indian,4.4,3.4,3.9,"Koramangala 5th Block, Bangalore",,"1,217",NO
19441869,SLAY Coffee Bar,"Beverages, Coffee, Bakery",4.4,4.0,4.2,"HSR, Bangalore",,"1,401",NO
18534914,Wrappers,Rolls,3.9,3.4,3.7,"Howrah Maidan Area, Howrah",,18.8K,NO
20167962,Chowman,"Chinese, Seafood, Thai",Newly Opened,Newly Opened,3.8,"Kalyani, Kolkata",Pro - Get 15% off,403,NO
19629041,Kaaram-The Andhra Kitchen,"Biryani, Andhra",4.3,3.8,4.1,"Park Street Area, Kolkata",,340,NO
20035814,La Pino'z Pizza,"Pizza, Fast Food, Beverages",3.9,3.6,3.8,"Alipore, Kolkata",,10,NO
20274,Jalapenos,"Italian, Mexican, Continental, Salad",3.9,4.2,4.1,"Camac Street Area, Kolkata",,"2,752",NO
18288868,Hotel Sidheshwari Ashram,"Bengali, North Indian, Mughlai",4.3,4.1,4.2,"New Market Area, Kolkata",,389,NO
20079061,Ananda Hotel & Restaurant,Bengali,4.3,,4.3,"Kaikhali, Kolkata",,106,NO
20183726,Dunkel Braun,"Cafe, Fast Food, Continental, Beverages",,3.6,3.6,"Sector 1, Salt Lake, Kolkata",,1,NO
18635982,Cj's Küche,"North Indian, Biryani, Kebab",3.7,3.6,3.7,"Chinar Park, Kolkata",,17.2K,NO
19494697,Tandoor Village,"Biryani, North Indian",3.5,,3.5,"Kestopur, Kolkata",,577,NO
19963617,Light Room Bar & Kitchen,"Modern Indian, Continental, Bar Food",,3.5,3.5,"The Myx, Park Street Area, Kolkata",,25,NO
19830002,One8 Commune,"Finger Food, Continental, North Indian, Asian, Beverages",,4.0,4.0,"Park Street Area, Kolkata",,364,NO
19341915,Vertex- Fairfield By Marriott Hotel Kolkata,"Finger Food, North Indian, Continental, Desserts",,3.9,3.9,"New Town, Kolkata",,122,NO
18461746,The Orient,"Asian, Chinese, Oriental, Thai, Seafood, Desserts",3.7,4.3,4.0,"City Centre 1, Sector 1, Salt Lake, Kolkata",Pro - Get 15% off,"2,443",NO
23831,Cafe Mezzuna,"Italian, Pizza, Continental, Desserts, Beverages, Pasta",4.1,4.6,4.4,"Forum Mall, Elgin, Kolkata",Pro - Get 15% off,"5,548",NO
18296336,Pour House,"Continental, Chinese, North Indian, Mughlai",,4.2,4.2,"Sector 5, Salt Lake, Kolkata",Pro - Get 20% off,"1,577",NO
18617771,Hard Rock Cafe,"American, Continental, Fast Food, Beverages",,4.5,4.5,"Park Street Area, Kolkata",Pro - Get 20% off,"3,428",NO
18343730,The Grid,"Continental, Italian, Pizza, North Indian",,4.7,4.7,"Topsia, Kolkata",,"2,953",NO
24286,The Irish House,"Italian, Continental",3.8,4.5,4.2,"Quest Mall, Ballygunge, Kolkata",,"3,949",NO
18361667,Monkey Bar,"Pizza, Burger, Continental, Chinese, Fast Food, Beverages",4.1,4.3,4.2,"Fort Knox, Camac Street Area, Kolkata",,"3,528",NO
19566588,Amour,"North Indian, Chinese, Continental, Desserts, Finger Food, Seafood, Beverages",,3.9,3.9,"Elgin, Kolkata",,104,NO
19563716,Credo Fashion Cafe,"Cafe, Fast Food, Beverages",3.7,3.8,3.8,"New Alipore, Kolkata",,50,NO
19090730,Koley's Kitchen Restaurant,"Chinese, North Indian, Mughlai, Fast Food, Seafood",4.3,3.7,4.0,"Barrackpore, Kolkata",,"5,621",NO
18361653,Chinese Pandit,"Chinese, Momos",3.9,3.3,3.6,"Lake Gardens, Kolkata",,12.2K,NO
20093695,Momo Nation Cafe,"Chinese, Momos",4.0,,4.0,"Dobson Road, Howrah",,67,NO
19545167,99,"Biryani, Chinese, North Indian, Fast Food",4.0,3.7,3.9,"Southern Avenue, Kolkata",,326,NO
18886285,New Noodle King,"Chinese, Seafood",3.8,4.1,4.0,"Park Circus Area, Kolkata",,11.4K,NO
18746590,Blue Poppy-Thakali,"Chinese, Tibetan, Momos",4.1,4.3,4.2,"Camac Street Area, Kolkata",,"3,641",NO
19192581,New Arsalan Biryani Palace,Biryani,3.8,3.5,3.7,"Chinar Park, Kolkata",,"3,581",NO
24297,Raasta Cafe,"North Indian, Fast Food, Sandwich, Pizza, Chinese, Beverages",4.0,4.0,4.0,"Dobson Road, Howrah",,15.5K,NO
19291447,Molecule Air Bar,"North Indian, Asian, Beverages, Italian",,4.5,4.5,"Green Park, New Delhi",Pro - Get 20% off,"1,307",Featured
19556284,Palsang Eatery,"Coffee, Chinese, Fast Food, Italian, Pasta, Beverages",4.3,3.8,4.1,"Shahpur Jat, New Delhi",,163,NO
19036616,Chaayos Chai+Snacks=Relax,"Street Food, Fast Food, Tea, Beverages",4.1,4.0,4.1,"Green Park, New Delhi",,"3,782",NO
20185258,Third Wave Coffee,"Cafe, Beverages, Fast Food, Desserts",4.0,3.6,3.8,"Sector 15, Gurgaon",,11,NO
20184463,Cafe Delhi Heights,"Beverages, Continental, Desserts, Modern Indian, Sandwich",4.0,4.0,4.0,"Netaji Subhash Place, New Delhi",,12,NO
19506127,Bob's Den,"Cafe, Fast Food, Burger, Pizza, Tea, Beverages",4.3,4.0,4.2,"Greater Kailash 1 (GK1), New Delhi",Pro - Get 20% off,335,NO
18421482,Breakfast Hut Amritsari Tandoori Kulche Chole,"North Indian, Street Food",4.0,3.6,3.8,"Krishna Nagar, New Delhi",,10.3K,NO
302427,Mehak Restaurant,"South Indian, North Indian, Chinese",4.0,3.4,3.7,"Shahdara, New Delhi",,952,NO
20023345,The Burger Club,"Burger, Fast Food, Desserts, Beverages",4.0,3.9,4.0,"Signature Global Mall, Ghaziabad",,856,NO
19558924,Studio XO Bar,"North Indian, Chinese, Italian",,3.8,3.8,"Sector 29, Gurgaon",Pro - Get 25% off,147,NO
19848061,Lord Of The Drinks,"Oriental, North Indian, Continental, Beverages",,3.5,3.5,"Preet Vihar, New Delhi",Pro - Get 20% off,84,NO
18767086,The Bar Company,"Chinese, North Indian, Continental, Italian",,4.1,4.1,"Gardens Galleria, Sector 38, Noida",Pro - Get 15% off,520,NO
20061845,Duty Free - Flaunt,"North Indian, Chinese, Continental, Italian, Mexican",,3.9,3.9,"Vegas Mall, Dwarka, New Delhi",Pro - Get 20% off,188,NO
19308422,Lost Lemons,"North Indian, European, Mediterranean",,4.1,4.1,"Sector 29, Gurgaon",Pro - Get 25% off,266,NO
18034050,Elation,"North Indian, European, Italian, Finger Food, Chinese, Pizza, Pasta",,4.1,4.1,"Greater Kailash 1 (GK1), New Delhi",Pro - Get 25% off,797,NO
18281985,Teddy Boy,"Thai, Continental, Mexican, Chinese, Beverages, Desserts",,4.3,4.3,"Connaught Place, New Delhi",Pro - Get 25% off,"5,480",NO
